Player,Start,Now,+/-
Kevin Schade (BRE),5.5,5.1,-0.4
Conor Chaplin (IPS),5.5,5.1,-0.4
Jake O'Brien (EVE),5.0,4.6,-0.4
Kiernan Dewsbury-Hall (CHE),6.0,5.6,-0.4
Jesper Lindstrøm (EVE),5.5,5.1,-0.4
Benjamin White (ARS),6.5,6.1,-0.4
Miguel Almirón Rejala (NEW),6.0,5.5,-0.5
Ben Brereton Díaz (SOU),5.5,5.0,-0.5
Rodrigo Muniz Carvalho (FUL),6.0,5.5,-0.5
Dominic Calvert-Lewin (EVE),6.0,5.5,-0.5
Jacob Murphy (NEW),5.5,4.9,-0.6
Jarell Quansah (LIV),4.5,3.9,-0.6
Christopher Nkunku (CHE),6.5,5.8,-0.7
